timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 19:55:03.449, 16.84 W, 56, 210 MHz, 405 MHz
2026/04/28 19:55:04.468, 16.80 W, 56, 210 MHz, 405 MHz
2026/04/28 19:55:05.469, 36.25 W, 60, 1920 MHz, 7301 MHz
2026/04/28 19:55:06.469, 110.86 W, 69, 1890 MHz, 7301 MHz
2026/04/28 19:55:07.469, 128.60 W, 71, 1882 MHz, 7301 MHz
2026/04/28 19:55:08.469, 137.16 W, 77, 1882 MHz, 7301 MHz
2026/04/28 19:55:09.469, 139.21 W, 76, 1867 MHz, 7301 MHz
2026/04/28 19:55:10.469, 131.75 W, 78, 1867 MHz, 7301 MHz
2026/04/28 19:55:11.469, 139.84 W, 83, 1860 MHz, 7301 MHz
2026/04/28 19:55:12.469, 138.65 W, 82, 1860 MHz, 7301 MHz
2026/04/28 19:55:13.471, 134.95 W, 83, 1777 MHz, 7301 MHz
2026/04/28 19:55:14.471, 141.13 W, 88, 1777 MHz, 7301 MHz
2026/04/28 19:55:15.471, 145.07 W, 87, 1845 MHz, 7301 MHz
2026/04/28 19:55:16.471, 138.19 W, 87, 1732 MHz, 7301 MHz
2026/04/28 19:55:17.471, 140.47 W, 90, 1642 MHz, 7301 MHz
2026/04/28 19:55:18.471, 140.40 W, 89, 1582 MHz, 7301 MHz
2026/04/28 19:55:19.471, 132.83 W, 88, 1642 MHz, 7301 MHz
2026/04/28 19:55:20.472, 131.78 W, 89, 1747 MHz, 7301 MHz
2026/04/28 19:55:21.472, 137.50 W, 91, 1567 MHz, 7301 MHz
2026/04/28 19:55:22.472, 131.96 W, 89, 1762 MHz, 7301 MHz
2026/04/28 19:55:23.473, 128.50 W, 90, 1777 MHz, 7301 MHz
2026/04/28 19:55:24.475, 131.65 W, 91, 1567 MHz, 7301 MHz
2026/04/28 19:55:25.475, 134.88 W, 91, 1612 MHz, 7301 MHz
2026/04/28 19:55:26.475, 129.31 W, 90, 1492 MHz, 7301 MHz
2026/04/28 19:55:27.475, 128.94 W, 89, 1702 MHz, 7301 MHz
2026/04/28 19:55:28.476, 130.50 W, 89, 1702 MHz, 7301 MHz
2026/04/28 19:55:29.476, 131.72 W, 89, 1432 MHz, 7301 MHz
2026/04/28 19:55:30.476, 129.31 W, 91, 1612 MHz, 7301 MHz
2026/04/28 19:55:31.476, 132.65 W, 89, 1657 MHz, 7301 MHz
2026/04/28 19:55:32.476, 131.32 W, 90, 1815 MHz, 7301 MHz
2026/04/28 19:55:33.477, 132.24 W, 90, 1755 MHz, 7301 MHz
2026/04/28 19:55:34.479, 132.46 W, 91, 1552 MHz, 7301 MHz
2026/04/28 19:55:35.479, 135.51 W, 90, 1710 MHz, 7301 MHz
2026/04/28 19:55:36.479, 128.52 W, 89, 1627 MHz, 7301 MHz
2026/04/28 19:55:37.479, 132.63 W, 90, 1612 MHz, 7301 MHz
2026/04/28 19:55:38.480, 132.51 W, 89, 1620 MHz, 7301 MHz
2026/04/28 19:55:39.481, 132.53 W, 91, 1612 MHz, 7301 MHz
2026/04/28 19:55:40.481, 135.29 W, 90, 1612 MHz, 7301 MHz
2026/04/28 19:55:41.481, 132.89 W, 90, 1755 MHz, 7301 MHz
2026/04/28 19:55:42.481, 132.49 W, 90, 1785 MHz, 7301 MHz
2026/04/28 19:55:43.482, 129.89 W, 88, 1515 MHz, 7301 MHz
2026/04/28 19:55:44.482, 132.76 W, 90, 1672 MHz, 7301 MHz
2026/04/28 19:55:45.482, 133.84 W, 90, 1515 MHz, 7301 MHz
2026/04/28 19:55:46.483, 137.24 W, 91, 1560 MHz, 7301 MHz
2026/04/28 19:55:47.483, 133.90 W, 90, 1680 MHz, 7301 MHz
2026/04/28 19:55:48.483, 132.31 W, 89, 1687 MHz, 7301 MHz
2026/04/28 19:55:49.483, 135.38 W, 89, 1747 MHz, 7301 MHz
2026/04/28 19:55:50.483, 130.89 W, 89, 1530 MHz, 7301 MHz
2026/04/28 19:55:51.483, 134.55 W, 89, 1717 MHz, 7301 MHz
2026/04/28 19:55:52.483, 137.55 W, 90, 1515 MHz, 7301 MHz
2026/04/28 19:55:53.484, 135.84 W, 91, 1687 MHz, 7301 MHz
2026/04/28 19:55:54.485, 134.95 W, 89, 1485 MHz, 7301 MHz
2026/04/28 19:55:55.486, 138.31 W, 88, 1560 MHz, 7301 MHz
2026/04/28 19:55:56.486, 131.76 W, 89, 1710 MHz, 7301 MHz
2026/04/28 19:55:57.487, 133.78 W, 88, 1777 MHz, 7301 MHz
2026/04/28 19:55:58.487, 136.68 W, 89, 1777 MHz, 7301 MHz
2026/04/28 19:55:59.487, 134.65 W, 88, 1650 MHz, 7301 MHz
2026/04/28 19:56:00.487, 136.11 W, 89, 1552 MHz, 7301 MHz
2026/04/28 19:56:01.487, 140.14 W, 91, 1747 MHz, 7301 MHz
2026/04/28 19:56:02.487, 137.53 W, 91, 1695 MHz, 7301 MHz
2026/04/28 19:56:03.487, 141.30 W, 90, 1545 MHz, 7301 MHz
2026/04/28 19:56:04.487, 137.61 W, 90, 1582 MHz, 7301 MHz
2026/04/28 19:56:05.487, 138.81 W, 89, 1830 MHz, 7301 MHz
2026/04/28 19:56:06.488, 134.51 W, 87, 1770 MHz, 7301 MHz
2026/04/28 19:56:07.488, 140.69 W, 88, 1717 MHz, 7301 MHz
2026/04/28 19:56:08.488, 137.77 W, 88, 1800 MHz, 7301 MHz
2026/04/28 19:56:09.489, 137.54 W, 88, 1492 MHz, 7301 MHz
2026/04/28 19:56:10.489, 137.77 W, 88, 1807 MHz, 7301 MHz
2026/04/28 19:56:11.489, 137.30 W, 88, 1657 MHz, 7301 MHz
2026/04/28 19:56:12.489, 137.11 W, 90, 1650 MHz, 7301 MHz
2026/04/28 19:56:13.489, 138.88 W, 89, 1657 MHz, 7301 MHz
2026/04/28 19:56:14.489, 139.77 W, 90, 1702 MHz, 7301 MHz
2026/04/28 19:56:15.489, 142.42 W, 90, 1627 MHz, 7301 MHz
2026/04/28 19:56:16.489, 139.74 W, 88, 1792 MHz, 7301 MHz
2026/04/28 19:56:17.489, 132.85 W, 88, 1552 MHz, 7301 MHz
2026/04/28 19:56:18.489, 138.23 W, 88, 1507 MHz, 7301 MHz
2026/04/28 19:56:19.489, 136.74 W, 89, 1777 MHz, 7301 MHz
2026/04/28 19:56:20.489, 136.81 W, 88, 1560 MHz, 7301 MHz
2026/04/28 19:56:21.490, 140.27 W, 88, 1642 MHz, 7301 MHz
2026/04/28 19:56:22.490, 137.75 W, 88, 1672 MHz, 7301 MHz
2026/04/28 19:56:23.490, 137.02 W, 88, 1687 MHz, 7301 MHz
2026/04/28 19:56:24.490, 136.25 W, 87, 1612 MHz, 7301 MHz
2026/04/28 19:56:25.490, 140.37 W, 89, 1582 MHz, 7301 MHz
2026/04/28 19:56:26.490, 142.07 W, 89, 1650 MHz, 7301 MHz
2026/04/28 19:56:27.490, 138.42 W, 89, 1567 MHz, 7301 MHz
2026/04/28 19:56:28.490, 141.73 W, 90, 1567 MHz, 7301 MHz
2026/04/28 19:56:29.490, 137.75 W, 91, 1695 MHz, 7301 MHz
2026/04/28 19:56:30.490, 143.89 W, 90, 1680 MHz, 7301 MHz
2026/04/28 19:56:31.490, 140.73 W, 89, 1590 MHz, 7301 MHz
2026/04/28 19:56:32.491, 140.23 W, 89, 1597 MHz, 7301 MHz
2026/04/28 19:56:33.491, 137.94 W, 90, 1747 MHz, 7301 MHz
2026/04/28 19:56:34.491, 142.36 W, 89, 1815 MHz, 7301 MHz
2026/04/28 19:56:35.491, 138.35 W, 88, 1537 MHz, 7301 MHz
2026/04/28 19:56:36.491, 141.38 W, 88, 1530 MHz, 7301 MHz
2026/04/28 19:56:37.491, 141.92 W, 89, 1500 MHz, 7301 MHz
2026/04/28 19:56:38.491, 136.07 W, 88, 1777 MHz, 7301 MHz
2026/04/28 19:56:39.491, 139.54 W, 87, 1522 MHz, 7301 MHz
2026/04/28 19:56:40.491, 138.78 W, 88, 1612 MHz, 7301 MHz
2026/04/28 19:56:41.491, 138.81 W, 87, 1612 MHz, 7301 MHz
2026/04/28 19:56:42.491, 138.35 W, 88, 1440 MHz, 7301 MHz
2026/04/28 19:56:43.491, 141.19 W, 88, 1582 MHz, 7301 MHz
2026/04/28 19:56:44.492, 137.71 W, 88, 1687 MHz, 7301 MHz
2026/04/28 19:56:45.493, 141.01 W, 88, 1725 MHz, 7301 MHz
2026/04/28 19:56:46.494, 135.44 W, 88, 1777 MHz, 7301 MHz
2026/04/28 19:56:47.495, 142.60 W, 88, 1807 MHz, 7301 MHz
2026/04/28 19:56:48.495, 140.21 W, 87, 1590 MHz, 7301 MHz
2026/04/28 19:56:49.495, 136.12 W, 87, 1777 MHz, 7301 MHz
2026/04/28 19:56:50.495, 142.56 W, 88, 1702 MHz, 7301 MHz
2026/04/28 19:56:51.495, 140.42 W, 87, 1702 MHz, 7301 MHz
2026/04/28 19:56:52.495, 141.74 W, 87, 1822 MHz, 7301 MHz
2026/04/28 19:56:53.495, 139.88 W, 87, 1770 MHz, 7301 MHz
2026/04/28 19:56:54.495, 141.31 W, 87, 1620 MHz, 7301 MHz
2026/04/28 19:56:55.496, 138.21 W, 88, 1590 MHz, 7301 MHz
2026/04/28 19:56:56.496, 140.87 W, 88, 1612 MHz, 7301 MHz
2026/04/28 19:56:57.496, 140.15 W, 89, 1822 MHz, 7301 MHz
2026/04/28 19:56:58.496, 134.67 W, 86, 1740 MHz, 7301 MHz
2026/04/28 19:56:59.496, 136.89 W, 85, 1777 MHz, 7301 MHz
2026/04/28 19:57:00.496, 141.24 W, 88, 1845 MHz, 7301 MHz
2026/04/28 19:57:01.496, 141.38 W, 86, 1680 MHz, 7301 MHz
2026/04/28 19:57:02.496, 136.93 W, 87, 1687 MHz, 7301 MHz
2026/04/28 19:57:03.496, 143.65 W, 88, 1597 MHz, 7301 MHz
2026/04/28 19:57:04.496, 138.97 W, 87, 1597 MHz, 7301 MHz
2026/04/28 19:57:05.496, 138.38 W, 87, 1695 MHz, 7301 MHz
2026/04/28 19:57:06.496, 138.46 W, 88, 1777 MHz, 7301 MHz
2026/04/28 19:57:07.496, 140.22 W, 86, 1672 MHz, 7301 MHz
2026/04/28 19:57:08.497, 141.89 W, 89, 1657 MHz, 7301 MHz
2026/04/28 19:57:09.497, 142.40 W, 88, 1845 MHz, 7301 MHz
2026/04/28 19:57:10.497, 141.95 W, 90, 1777 MHz, 7301 MHz
2026/04/28 19:57:11.497, 142.25 W, 89, 1710 MHz, 7301 MHz
2026/04/28 19:57:12.497, 139.99 W, 88, 1545 MHz, 7301 MHz
2026/04/28 19:57:13.497, 137.08 W, 88, 1612 MHz, 7301 MHz
2026/04/28 19:57:14.497, 140.35 W, 90, 1680 MHz, 7301 MHz
2026/04/28 19:57:15.497, 141.55 W, 89, 1777 MHz, 7301 MHz
2026/04/28 19:57:16.497, 144.72 W, 90, 1717 MHz, 7301 MHz
2026/04/28 19:57:17.497, 137.63 W, 90, 1627 MHz, 7301 MHz
2026/04/28 19:57:18.497, 146.41 W, 89, 1545 MHz, 7301 MHz
