timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 20:35:07.638, 20.04 W, 58, 1552 MHz, 810 MHz
2026/04/28 20:35:08.646, 20.06 W, 58, 1552 MHz, 810 MHz
2026/04/28 20:35:09.646, 29.78 W, 59, 1552 MHz, 7301 MHz
2026/04/28 20:35:10.646, 64.23 W, 65, 1552 MHz, 7301 MHz
2026/04/28 20:35:11.646, 85.98 W, 67, 1552 MHz, 7301 MHz
2026/04/28 20:35:12.646, 88.53 W, 67, 1552 MHz, 7301 MHz
2026/04/28 20:35:13.646, 86.86 W, 67, 1552 MHz, 7301 MHz
2026/04/28 20:35:14.646, 86.28 W, 68, 1552 MHz, 7301 MHz
2026/04/28 20:35:15.647, 86.41 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:35:16.647, 90.50 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:35:17.647, 89.21 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:35:18.647, 87.43 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:35:19.647, 88.27 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:35:20.647, 90.31 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:21.647, 94.25 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:22.647, 91.96 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:23.647, 89.93 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:24.648, 90.10 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:25.648, 93.88 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:26.648, 92.87 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:27.648, 90.97 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:28.648, 90.70 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:29.648, 92.67 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:30.648, 96.13 W, 75, 1552 MHz, 7301 MHz
2026/04/28 20:35:31.648, 93.11 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:32.649, 88.65 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:33.649, 91.24 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:34.649, 91.04 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:35.649, 89.72 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:36.649, 92.59 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:37.667, 92.89 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:38.667, 93.68 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:39.667, 90.03 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:40.667, 94.04 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:41.667, 92.68 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:42.667, 91.75 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:43.667, 91.95 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:44.668, 92.87 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:45.668, 95.40 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:46.668, 94.34 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:47.668, 94.51 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:48.668, 92.32 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:49.668, 90.12 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:50.668, 92.02 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:51.668, 90.78 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:52.668, 92.41 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:53.669, 91.05 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:35:54.669, 91.91 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:35:55.669, 94.21 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:56.669, 95.55 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:35:57.669, 96.67 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:35:58.669, 95.89 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:35:59.669, 93.98 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:00.669, 93.13 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:01.669, 93.30 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:02.669, 93.37 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:03.670, 93.16 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:04.670, 92.00 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:05.671, 91.23 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:06.671, 94.44 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:07.671, 95.80 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:36:08.671, 96.70 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:36:09.671, 96.79 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:36:10.672, 96.87 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:36:11.672, 96.07 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:12.672, 95.09 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:13.672, 94.19 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:14.672, 94.33 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:15.672, 94.47 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:16.672, 95.16 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:17.672, 94.57 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:18.673, 95.12 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:19.673, 94.54 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:20.673, 94.57 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:21.673, 95.18 W, 71, 1552 MHz, 7301 MHz
